operatingSystemServicePack|logonCount|cn|description|dNSHostName|whenChanged|lastLogon|whenCreated|operatingSystemVersion|displayname|operatingSystem|name
Service Pack 3|16|ENAMHR002||enamhr002.eastnets.com|2012-07-15T06:30:38.000000000|2012-07-18 13:39:24|2008-06-08T11:58:30.000000000|5.1 (2600)||Windows XP Professional|ENAMHR002
||DAVID1||david1.eastnets.com|2008-08-28T04:35:08.000000000||2008-06-16T07:08:30.000000000|6.0 (6000)||Windows Vista™ Business|DAVID1
Service Pack 3|293|SMAKKIEH||smakkieh.eastnets.com|2010-10-27T05:23:05.000000000|2010-11-02 06:44:49|2006-03-29T05:43:00.000000000|5.1 (2600)||Windows XP Professional|SMAKKIEH
Service Pack 2||EASTNETS010||eastnets010.eastnets.com|2008-08-28T04:35:08.000000000||2008-04-14T12:08:35.000000000|5.1 (2600)||Windows XP Professional|EASTNETS010
Service Pack 3|305|TKEYROUZ||TKeyrouz.eastnets.com|2012-10-01T11:57:13.000000000|2012-10-01 10:57:28|2006-02-27T12:13:42.000000000|5.1 (2600)||Windows XP Professional|TKEYROUZ
Service Pack 1||MMAALI2||MMaali2.eastnets.com|2008-08-28T04:35:08.000000000||2008-05-18T11:03:55.000000000|6.0 (6001)||Windows Vista™ Business|MMAALI2
Service Pack 2|4|SAMER1||Samer1.eastnets.com|2008-10-19T08:05:17.000000000|2008-10-23 11:11:02|2005-05-05T07:06:17.000000000|5.1 (2600)||Windows XP Professional|SAMER1
||KAYYALI||kayyali.eastnets.com|2008-08-28T04:35:09.000000000||2007-01-08T09:33:17.000000000|6.0 (6000)||Windows Vista™ Enterprise|KAYYALI
Service Pack 1|0|MBARQAWI-PC||Mbarqawi-PC.eastnets.com|2009-07-15T10:37:13.000000000|2009-07-15 11:26:02|2008-07-31T12:22:40.000000000|6.0 (6001)||Windows Vista™ Enterprise|MBARQAWI-PC
Service Pack 2||END000111||end000111.eastnets.com|2008-08-28T04:35:16.000000000||2008-07-16T04:12:00.000000000|5.1 (2600)||Windows XP Tablet PC Edition|END000111
Service Pack 2|153|AALQUOLAQ||aalquolaq.eastnets.com|2011-01-06T13:46:38.000000000|2011-01-12 07:13:09|2004-05-11T08:19:38.000000000|5.1 (2600)||Windows XP Professional|AALQUOLAQ
Service Pack 1|0|SWIFT-TEST||swift-test.eastnets.com|2009-04-10T03:46:02.000000000|2009-04-06 11:58:47|2008-08-07T15:25:59.000000000|5.2 (3790)||Windows Server 2003|SWIFT-TEST
Service Pack 3|25|SATY||saty.eastnets.com|2008-12-03T06:38:19.000000000|2008-12-03 08:19:41|2007-01-30T06:07:15.000000000|5.1 (2600)||Windows XP Professional|SATY
Service Pack 1||TOTAIBI||TOtaibi.eastnets.com|2008-09-14T05:59:08.000000000||2008-06-04T09:43:09.000000000|6.0 (6001)||Windows Vista™ Business|TOTAIBI
Service Pack 2||JOCELYNE||jocelyne.eastnets.com|2008-08-28T04:35:13.000000000||2006-09-04T08:37:02.000000000|5.1 (2600)||Windows XP Professional|JOCELYNE
Service Pack 2||RITAR||ritar.eastnets.com|2008-08-28T04:35:13.000000000||2007-11-19T09:33:37.000000000|5.1 (2600)||Windows XP Professional|RITAR
Service Pack 2|40|LHEDIAH||LHediah.eastnets.com|2009-04-05T06:40:06.000000000|2009-04-05 06:54:31|2004-02-23T14:06:53.000000000|5.1 (2600)||Windows XP Tablet PC Edition|LHEDIAH
Service Pack 1|258|BDUHEIDEL-HP||BDuheidel-HP.eastnets.com|2009-03-17T22:35:59.000000000|2009-03-19 08:13:45|2007-03-13T11:25:22.000000000|6.0 (6001)||Windows Vista™ Enterprise|BDUHEIDEL-HP
Service Pack 2|1|MEETINGROOM||meetingroom.eastnets.com|2009-07-22T10:48:44.000000000|2009-07-22 11:09:12|2006-12-03T14:20:17.000000000|5.1 (2600)||Windows XP Professional|MEETINGROOM
Service Pack 2||ENDBEXCH002||endbexch002.eastnets.com|2008-08-28T04:35:18.000000000||2008-08-16T11:15:41.000000000|5.2 (3790)||Windows Server 2003|ENDBEXCH002
Service Pack 2|63|HAMMAD||hammad.eastnets.com|2009-10-06T04:35:16.000000000|2009-09-08 07:45:38|2008-06-11T08:37:24.000000000|5.1 (2600)||Windows XP Professional|HAMMAD
Service Pack 3|5|BASEM||basem.eastnets.com|2008-11-24T17:29:46.000000000|2008-10-27 12:15:45|2005-09-15T11:32:02.000000000|5.1 (2600)||Windows XP Professional|BASEM
Service Pack 2||END101||END101.eastnets.com|2008-08-28T04:35:19.000000000||2008-08-18T06:29:58.000000000|5.1 (2600)||Windows XP Professional|END101
Service Pack 2|147|JPDM||jpdm.eastnets.com|2009-08-04T06:41:21.000000000|2009-08-09 05:41:39|2005-09-14T09:51:08.000000000|5.1 (2600)||Windows XP Professional|JPDM
Service Pack 2|1999|STORE||store.eastnets.com|2013-08-09T18:14:21.000000000|2013-08-19 14:53:53|2007-03-19T08:05:43.000000000|5.2 (3790)||Windows Server 2003|STORE
Service Pack 2|264|KBALUYOT||KBaluyot.eastnets.com|2012-03-08T03:30:09.000000000|2012-03-08 04:05:23|2008-07-03T10:25:43.000000000|5.1 (2600)||Windows XP Professional|KBALUYOT
Service Pack 2|12|MPABLO||mpablo.eastnets.com|2009-02-02T10:37:56.000000000|2009-02-04 15:05:59|2006-04-13T08:48:15.000000000|5.1 (2600)||Windows XP Professional|MPABLO
Service Pack 4|1|QIIB-CC||qiib-cc.eastnets.com|2012-10-08T16:36:11.000000000|2012-10-10 04:59:12|2008-05-13T13:06:15.000000000|5.0 (2195)||Windows 2000 Server|QIIB-CC
Service Pack 2|23|SALAMEH||Salameh.eastnets.com|2008-12-22T08:07:24.000000000|2008-12-22 08:07:24|2007-07-10T08:38:27.000000000|5.1 (2600)||Windows XP Professional|SALAMEH
Service Pack 2|207|MNAHAWI||mnahawi.eastnets.com|2010-04-21T07:03:39.000000000|2010-04-26 08:42:25|2006-04-05T14:00:39.000000000|5.1 (2600)||Windows XP Professional|MNAHAWI
Service Pack 3|3|ENAMMHR001||ENAMMHR001.eastnets.com|2009-01-21T06:36:14.000000000|2008-12-14 12:02:19|2007-07-11T05:43:26.000000000|5.1 (2600)||Windows XP Professional|ENAMMHR001
Service Pack 4|1|MYABUZER||myabuzer.eastnets.com|2010-03-01T09:15:06.000000000|2009-11-15 11:19:12|2005-07-21T13:05:10.000000000|5.0 (2195)||Windows 2000 Professional|MYABUZER
Service Pack 3|543|QIDRISI||Qidrisi.eastnets.com|2011-06-01T05:29:57.000000000|2011-06-01 05:47:03|2005-02-13T05:40:09.000000000|5.1 (2600)||Windows XP Professional|QIDRISI
Service Pack 3|90|END10004||END10004.eastnets.com|2009-08-09T07:45:10.000000000|2009-08-18 06:25:07|2007-12-23T11:02:40.000000000|5.1 (2600)||Windows XP Professional|END10004
Service Pack 2|0|SRAMAKRISHNA||sramakrishna.eastnets.com|2010-04-05T09:47:48.000000000|0|2008-03-17T13:35:02.000000000|5.1 (2600)||Windows XP Professional|SRAMAKRISHNA
Service Pack 1|761|RCHAHINE||rchahine.eastnets.com|2010-01-20T07:48:16.000000000|2010-01-24 12:11:04|2006-03-28T11:46:32.000000000|6.0 (6001)||Windows Vista™ Business|RCHAHINE
Service Pack 3|144|EMAGSOMBOL||emagsombol.eastnets.com|2010-01-10T05:00:45.000000000|2010-01-13 13:52:14|2007-10-16T06:07:56.000000000|5.1 (2600)||Windows XP Professional|EMAGSOMBOL
Service Pack 2|34|DREYES||dreyes.eastnets.com|2009-02-11T09:27:18.000000000|2009-02-09 13:53:55|2007-12-10T05:39:51.000000000|5.1 (2600)||Windows XP Professional|DREYES
Service Pack 2|20|ASTRAMENOVA||AStramenova.eastnets.com|2008-11-26T10:25:05.000000000|2008-11-26 10:24:51|2008-01-28T12:26:33.000000000|5.1 (2600)||Windows XP Professional|ASTRAMENOVA
Service Pack 2|5|END10025||END10025.eastnets.com|2008-10-12T05:20:30.000000000|2008-10-13 13:47:44|2007-12-10T11:20:16.000000000|5.1 (2600)||Windows XP Professional|END10025
Service Pack 2|70|EDREYER||EDreyer.eastnets.com|2009-09-27T06:16:28.000000000|2009-10-06 09:24:35|2006-07-25T10:28:32.000000000|5.1 (2600)||Windows XP Professional|EDREYER
Service Pack 3|209|ALJAY-PC||aljay-PC.eastnets.com|2011-05-23T12:53:31.000000000|2010-08-30 10:20:34|2007-10-07T06:50:55.000000000|5.1 (2600)||Windows XP Professional|ALJAY-PC
Service Pack 3|51|MFARID||mfarid.eastnets.com|2008-12-04T11:49:33.000000000|2008-11-30 14:11:26|2008-06-29T07:23:35.000000000|5.1 (2600)||Windows XP Professional|MFARID
Service Pack 2|31|AMITSAN||AmitSan.eastnets.com|2008-12-14T07:42:06.000000000|2008-12-15 09:33:54|2006-08-31T06:04:18.000000000|5.1 (2600)||Windows XP Professional|AMITSAN
Service Pack 3|240|WISSA||wissa.eastnets.com|2010-09-14T07:07:50.000000000|2010-09-22 06:35:32|2008-02-04T10:53:11.000000000|5.1 (2600)||Windows XP Professional|WISSA
|27|MAJED-PC||Majed-PC.eastnets.com|2010-10-17T07:33:48.000000000|2009-11-15 15:37:19|2007-07-05T06:28:00.000000000|6.1 (7600)||Windows 7 Professional|MAJED-PC
Service Pack 3|1|ENAMSEC003||enamsec003.eastnets.com|2011-06-14T10:02:37.000000000|2010-12-28 15:34:54|2006-07-31T06:11:16.000000000|5.1 (2600)||Windows XP Professional|ENAMSEC003
Service Pack 3|1|ENAMMDES001||enammdes001.eastnets.com|2009-08-25T08:42:53.000000000|2009-08-27 10:51:01|2008-04-16T15:22:04.000000000|5.1 (2600)||Windows XP Professional|ENAMMDES001
Service Pack 2|8|AKALAKECH||AKalakech.eastnets.com|2008-09-10T09:10:23.000000000|2008-09-17 08:01:17|2008-07-21T12:58:38.000000000|5.1 (2600)||Windows XP Professional|AKALAKECH
Service Pack 3|2|MOHAMMAD-NASSAR||Mohammad-Nassar.eastnets.com|2008-11-16T08:31:42.000000000|2008-10-19 08:09:30|2008-03-04T09:06:52.000000000|5.1 (2600)||Windows XP Professional|MOHAMMAD-NASSAR
Service Pack 3|0|ENAMMSEC002||enammsec002.eastnets.com|2009-06-16T08:40:24.000000000|2009-06-25 09:11:46|2008-06-09T13:02:22.000000000|5.1 (2600)||Windows XP Professional|ENAMMSEC002
Service Pack 2|93|ALAN||alan.eastnets.com|2013-04-18T19:57:49.000000000|2009-07-15 07:38:36|2008-01-15T11:24:15.000000000|5.1 (2600)||Windows XP Professional|ALAN
|490|ENDXB-GJARRAR||ENDXB-GJARRAR.eastnets.com|2011-09-28T06:30:12.000000000|2011-09-29 12:18:51|2008-06-23T04:34:18.000000000|6.1 (7600)||Windows 7 Enterprise|ENDXB-GJARRAR
Service Pack 3|4|ENAMMSW006||enammsw006.eastnets.com|2009-06-18T06:43:36.000000000|2009-06-18 14:42:34|2008-06-18T11:34:50.000000000|5.1 (2600)||Windows XP Professional|ENAMMSW006
Service Pack 3|2|ENAMMQA010||enammqa010.eastnets.com|2010-04-11T06:39:28.000000000|2010-04-14 08:47:56|2008-06-18T11:16:34.000000000|5.1 (2600)||Windows XP Professional|ENAMMQA010
Service Pack 3|5|ENAMSWTL01||ENAMSWTL01.eastnets.com|2011-01-09T11:43:13.000000000|2010-10-14 20:53:43|2007-08-02T10:15:57.000000000|5.1 (2600)||Windows XP Professional|ENAMSWTL01
Service Pack 2|290|MJRABAINO||mjrabaino.eastnets.com|2010-08-04T10:06:41.000000000|2010-08-04 10:11:50|2008-05-15T05:27:13.000000000|5.1 (2600)||Windows XP Professional|MJRABAINO
Service Pack 3||ENAMMSW007||enammsw007.eastnets.com|2008-09-10T07:56:04.000000000||2008-06-30T08:05:53.000000000|5.1 (2600)||Windows XP Professional|ENAMMSW007
Service Pack 3|43|ASHAHEEN||AShaheen.eastnets.com|2009-10-07T06:08:30.000000000|2009-10-12 06:26:23|2007-01-21T08:54:55.000000000|5.1 (2600)||Windows XP Professional|ASHAHEEN
Service Pack 3|2|ENAMISENG006||enamiseng006.eastnets.com|2009-02-11T07:57:38.000000000|2009-02-16 13:01:55|2008-02-10T13:44:11.000000000|5.1 (2600)||Windows XP Professional|ENAMISENG006
Service Pack 2|27|JMACAPAGAL||jmacapagal.eastnets.com|2008-12-21T04:53:50.000000000|2008-12-21 04:53:51|2003-12-01T06:28:01.000000000|5.1 (2600)||Windows XP Professional|JMACAPAGAL
Service Pack 3|3|THASAN||thasan.eastnets.com|2009-02-08T08:09:59.000000000|2009-02-05 13:19:39|2007-11-27T06:40:32.000000000|5.1 (2600)||Windows XP Professional|THASAN
Service Pack 2|465|AHMAD||ahmad.eastnets.com|2010-01-25T09:54:59.000000000|2010-01-28 09:12:10|2005-09-13T09:48:53.000000000|6.0 (6002)||Windows Vista™ Business|AHMAD
|709|BKHALIFA||Bkhalifa.eastnets.com|2009-11-04T07:35:56.000000000|2009-11-10 11:08:17|2008-06-11T04:17:24.000000000|6.0 (6000)||Windows Vista™ Business|BKHALIFA
Service Pack 3|7|ENAMMDEV038||enammdev038.eastnets.com|2008-12-24T12:19:53.000000000|2008-12-24 12:32:06|2008-05-13T07:02:53.000000000|5.1 (2600)||Windows XP Professional|ENAMMDEV038
Service Pack 3|25|SRAMAKRISKNA||sramakriskna.eastnets.com|2008-11-02T04:55:29.000000000|2008-11-10 12:49:30|2008-08-11T08:01:39.000000000|5.1 (2600)||Windows XP Professional|SRAMAKRISKNA
Service Pack 4|0|QIIB2K||QIIB2K.eastnets.com|2008-11-14T14:42:27.000000000|2008-10-21 12:18:28|2007-04-16T16:49:49.000000000|5.0 (2195)||Windows 2000 Server|QIIB2K
Service Pack 2|26|END10042||end10042.eastnets.com|2008-11-30T11:38:10.000000000|2008-11-30 11:49:45|2007-12-12T13:26:01.000000000|5.1 (2600)||Windows XP Tablet PC Edition|END10042
Service Pack 2||ENDBEXCH001||endbexch001.eastnets.com|2008-08-28T04:35:24.000000000||2008-08-16T09:43:54.000000000|5.2 (3790)||Windows Server 2003|ENDBEXCH001
Service Pack 3|1|ENAMMQA007||enammqa007.eastnets.com|2009-03-21T12:45:59.000000000|2009-03-17 18:18:45|2007-03-21T11:48:13.000000000|5.1 (2600)||Windows XP Professional|ENAMMQA007
Service Pack 3|210|ENDXBRCUNANAN||ENDXBRCUNANAN.eastnets.com|2010-01-10T05:09:19.000000000|2010-01-11 05:05:11|2008-08-13T12:53:47.000000000|5.1 (2600)||Windows XP Professional|ENDXBRCUNANAN
|38|ASUMRINE||asumrine.eastnets.com|2008-10-12T12:53:20.000000000|2008-10-15 10:42:37|2008-07-24T07:44:07.000000000|6.0 (6000)||Windows Vista™ Business|ASUMRINE
Service Pack 3|78|HMUSTAFA||HMustafa.eastnets.com|2009-10-18T05:50:17.000000000|2009-10-25 12:38:56|2008-02-07T07:22:35.000000000|5.1 (2600)||Windows XP Professional|HMUSTAFA
Service Pack 3||ENAMDEV010||enamdev010.eastnets.com|2008-10-15T11:56:18.000000000||2008-02-26T07:25:38.000000000|5.1 (2600)||Windows XP Professional|ENAMDEV010
Service Pack 1|29|MUHANNADT||muhannadt.eastnets.com|2009-03-15T07:55:23.000000000|2009-03-18 11:35:33|2006-02-07T14:07:20.000000000|6.0 (6001)||Windows Vista™ Enterprise|MUHANNADT
Service Pack 2|0|AALHAFETH||AALhafeth.eastnets.com|2008-11-23T09:52:32.000000000|2008-10-19 09:33:28|2007-08-12T09:20:41.000000000|5.1 (2600)||Windows XP Professional|AALHAFETH
Service Pack 1|47|BASEL-EN||Basel-EN.eastnets.com|2008-11-15T07:33:57.000000000|2008-11-15 08:25:09|2008-08-20T07:10:21.000000000|6.0 (6001)||Windows Vista™ Business|BASEL-EN
Service Pack 3|33|ASSAF||assaf.eastnets.com|2008-12-14T11:43:45.000000000|2008-12-14 17:58:57|2006-09-17T15:47:26.000000000|5.1 (2600)||Windows XP Professional|ASSAF
Service Pack 3|145|NNASSIF||NNassif.eastnets.com|2009-05-17T06:05:53.000000000|2009-05-21 06:06:39|2006-07-03T09:45:15.000000000|5.1 (2600)||Windows XP Professional|NNASSIF
Service Pack 3|2|SIMA||Sima.eastnets.com|2008-09-14T06:25:25.000000000|2008-09-14 06:27:51|2007-07-01T15:13:53.000000000|5.1 (2600)||Windows XP Professional|SIMA
|994|LMARSHOUD1||LMarshoud1.eastnets.com|2010-04-07T06:18:07.000000000|2010-04-13 09:29:41|2007-04-26T07:45:49.000000000|6.0 (6000)||Windows Vista™ Business|LMARSHOUD1
Service Pack 3|179|EKAYA||ekaya.eastnets.com|2009-04-27T07:31:06.000000000|2009-04-09 08:19:03|2008-05-01T07:39:43.000000000|5.1 (2600)||Windows XP Professional|EKAYA
Service Pack 2|38|WABDALLAH||wabdallah.eastnets.com|2009-01-25T07:21:00.000000000|2009-02-02 07:34:11|2007-11-28T10:39:20.000000000|5.1 (2600)||Windows XP Professional|WABDALLAH
Service Pack 2|267|JANTES||jantes.eastnets.com|2010-01-27T11:19:12.000000000|2010-02-03 13:52:01|2008-08-04T10:13:36.000000000|5.1 (2600)||Windows XP Professional|JANTES
Service Pack 2|260|SALVA||SAlva.eastnets.com|2010-04-04T05:43:05.000000000|2010-04-11 06:15:55|2008-03-09T10:10:21.000000000|5.1 (2600)||Windows XP Professional|SALVA
Service Pack 2||AATAT||aatat.eastnets.com|2008-08-28T04:35:24.000000000||2007-01-31T07:31:17.000000000|5.1 (2600)||Windows XP Professional|AATAT
Service Pack 1|6|ENAMMIS||enammIS.eastnets.com|2012-08-16T02:20:14.000000000|2012-08-08 00:15:04|2008-03-26T07:00:08.000000000|5.2 (3790)||Windows Server 2003|ENAMMIS
Service Pack 3|67|TDEEB||tdeeb.eastnets.com|2009-06-26T07:25:12.000000000|2009-06-29 11:20:10|2007-06-12T10:41:10.000000000|5.1 (2600)||Windows XP Professional|TDEEB
Service Pack 3|102|HMULHIM||hmulhim.eastnets.com|2010-11-09T09:01:19.000000000|2010-11-09 09:02:40|2007-06-13T10:38:41.000000000|5.1 (2600)||Windows XP Professional|HMULHIM
|191|MKAYYALI-PC||mkayyali-PC.eastnets.com|2009-04-26T05:20:41.000000000|2009-04-30 14:14:47|2008-08-03T15:24:47.000000000|6.0 (6000)||Windows Vista™ Business|MKAYYALI-PC
Service Pack 2|15|END10038||end10038.eastnets.com|2008-10-15T05:19:48.000000000|2008-10-15 04:56:38|2007-12-27T12:12:16.000000000|5.1 (2600)||Windows XP Professional|END10038
Service Pack 2|1|ENAMHEBA||ENAMHEBA.eastnets.com|2009-08-16T08:10:03.000000000|2009-08-19 10:36:16|2004-07-20T07:21:14.000000000|5.1 (2600)||Windows XP Professional|ENAMHEBA
Service Pack 3|355|KPURSWANI||KPurswani.eastnets.com|2010-03-22T12:15:38.000000000|2010-03-31 04:40:10|2006-07-05T06:38:26.000000000|5.1 (2600)||Windows XP Professional|KPURSWANI
Service Pack 3|12|EASTNETS-D680C8||eastnets-d680c8.eastnets.com|2008-11-19T09:35:07.000000000|2008-11-19 11:38:57|2007-04-17T09:20:18.000000000|5.1 (2600)||Windows XP Professional|EASTNETS-D680C8
Service Pack 1|243|AMENA||amena.eastnets.com|2012-05-29T11:24:27.000000000|2009-12-15 07:00:04|2008-08-26T12:23:34.000000000|6.1 (7601)||Windows 7 Ultimate|AMENA
Service Pack 2|0|TECRA||tecra.eastnets.com|2008-08-31T06:44:34.000000000|2008-08-31 10:09:36|2007-12-06T09:23:48.000000000|5.1 (2600)||Windows XP Professional|TECRA
Service Pack 3||EASTNETS-2E523C||eastnets-2e523c.eastnets.com|2008-08-31T06:39:46.000000000||2008-06-26T05:50:39.000000000|5.1 (2600)||Windows XP Professional|EASTNETS-2E523C
Service Pack 3|7|ENDEV001||endev001.eastnets.com|2010-10-20T15:18:48.000000000|2010-07-05 14:08:05|2008-08-27T10:02:15.000000000|5.1 (2600)||Windows XP Professional|ENDEV001
Service Pack 2|0|BSS-SERVER||bss-server.eastnets.com|2010-08-22T07:13:57.000000000|2009-10-18 07:21:18|2008-08-27T09:01:23.000000000|5.2 (3790)||Windows Server 2003|BSS-SERVER
Service Pack 2||ENDBDC02||ENDBDC02.eastnets.com|2008-08-28T04:35:26.000000000||2008-08-27T10:18:22.000000000|5.2 (3790)||Windows Server 2003|ENDBDC02
Service Pack 2|5|OASSEEDEH||oasseedeh.eastnets.com|2008-10-29T11:12:32.000000000|2008-10-29 13:34:51|2008-08-27T12:46:52.000000000|5.1 (2600)||Windows XP Professional|OASSEEDEH
|128|MNAYFEH||mnayfeh.eastnets.com|2010-10-14T06:48:31.000000000|2010-10-05 14:25:31|2007-01-17T13:33:27.000000000|6.0 (6000)||Windows Vista™ Enterprise|MNAYFEH
Service Pack 2|159|MSAEED||MSaeed.eastnets.com|2009-11-08T08:18:14.000000000|2009-11-10 07:34:52|2008-06-04T10:16:20.000000000|5.1 (2600)||Windows XP Professional|MSAEED
Service Pack 3|643|DAVIDS||davids.eastnets.com|2011-06-07T10:48:41.000000000|2011-06-07 10:48:41|2008-06-10T06:05:42.000000000|5.1 (2600)||Windows XP Professional|DAVIDS
Service Pack 1||BSFVMC||bsfvmc.eastnets.com|2008-11-19T07:08:26.000000000||2008-08-28T11:22:02.000000000|5.2 (3790)||Windows Server 2003|BSFVMC
Service Pack 3|42|AZMI||AZMI.eastnets.com|2008-11-16T05:53:57.000000000|2008-11-18 05:47:55|2008-08-31T06:21:21.000000000|5.1 (2600)||Windows XP Professional|AZMI
Service Pack 2|0|BIZTALKSTD||BIZTALKstd.eastnets.com|2010-08-17T10:44:07.000000000|2009-10-18 07:56:06|2008-08-31T08:02:43.000000000|5.2 (3790)||Windows Server 2003|BIZTALKSTD
Service Pack 3|0|ENAMMSW005||enammsw005.eastnets.com|2009-03-30T12:53:14.000000000|2008-10-19 14:01:11|2008-09-02T08:28:15.000000000|5.1 (2600)||Windows XP Professional|ENAMMSW005
Service Pack 1|222|HKANAN||hkanan.eastnets.com|2009-03-04T13:10:24.000000000|2009-03-12 09:47:14|2008-09-03T08:24:54.000000000|6.0 (6001)||Windows Vista™ Business|HKANAN
Service Pack 3|263|PPU||Ppu.eastnets.com|2010-03-03T05:44:44.000000000|2010-03-10 05:37:59|2008-09-04T07:56:57.000000000|5.1 (2600)||Windows XP Professional|PPU
Service Pack 2|5|MSALAMEH||msalameh.eastnets.com|2008-11-02T10:05:27.000000000|2008-11-07 12:07:48|2008-09-08T10:28:32.000000000|5.1 (2600)||Windows XP Professional|MSALAMEH
Service Pack 2|36|WIN2003STVM||win2003stvm.eastnets.com|2008-10-08T11:45:57.000000000|2008-10-08 13:36:44|2008-09-10T11:17:21.000000000|5.2 (3790)||Windows Server 2003|WIN2003STVM
Service Pack 2|196|ENHQPDM001||ENHQPDM001.eastnets.com|2009-11-25T07:35:30.000000000|2009-11-19 06:40:36|2008-09-10T11:57:08.000000000|6.0 (6002)||Windows Vista™ Ultimate|ENHQPDM001
Service Pack 3|1|SIDE0013||SIDE0013.eastnets.com|2010-09-10T08:45:05.000000000|2008-09-11 11:34:23|2008-09-11T11:13:30.000000000|5.1 (2600)||Windows XP Professional|SIDE0013
Service Pack 3|317|MSHUKOR||MShukor.eastnets.com|2011-01-16T05:57:52.000000000|2011-01-20 11:00:29|2008-09-15T06:06:04.000000000|5.1 (2600)||Windows XP Professional|MSHUKOR
Service Pack 2|23|ENAMMSW009||ENAMMSW009.eastnets.com|2010-02-15T09:00:39.000000000|2009-10-27 09:57:50|2008-09-17T06:59:47.000000000|6.0 (6002)||Windows Vista™ Enterprise|ENAMMSW009
Service Pack 3|43|MON||mon.eastnets.com|2009-11-03T08:48:32.000000000|2009-11-06 11:26:13|2008-09-17T07:40:51.000000000|5.1 (2600)||Windows XP Professional|MON
Service Pack 2|244|AKALAKESH||Akalakesh.eastnets.com|2011-05-04T07:48:50.000000000|2010-12-29 09:34:09|2008-09-18T05:32:26.000000000|5.1 (2600)||Windows XP Professional|AKALAKESH
Service Pack 2|8|OSAIED||osaied.eastnets.com|2008-11-18T14:11:52.000000000|2008-11-18 14:11:23|2008-09-21T09:30:56.000000000|5.1 (2600)||Windows XP Professional|OSAIED
Service Pack 2|71|RAYMOND||raymond.eastnets.com|2009-03-04T06:49:18.000000000|2009-03-04 06:49:18|2008-09-22T06:21:54.000000000|5.1 (2600)||Windows XP Professional|RAYMOND
Service Pack 3|4|ENAMSEC004||enamsec004.eastnets.com|2011-01-26T09:10:36.000000000|2010-07-21 08:18:19|2008-09-28T12:45:47.000000000|5.1 (2600)||Windows XP Professional|ENAMSEC004
Service Pack 3|2|ENAMMDEV007||enammdev007.eastnets.com|2009-06-07T09:52:48.000000000|2009-04-29 06:00:41|2008-10-07T12:49:30.000000000|5.1 (2600)||Windows XP Professional|ENAMMDEV007
Service Pack 3|10|ENAMMENG002||enammeng002.eastnets.com|2010-07-07T05:47:37.000000000|2010-03-28 08:28:15|2008-10-12T07:23:41.000000000|5.1 (2600)||Windows XP Professional|ENAMMENG002
Service Pack 2|68|DIANA||diana.eastnets.com|2009-05-17T06:09:15.000000000|2009-05-20 07:32:56|2008-10-13T13:44:51.000000000|5.1 (2600)||Windows XP Professional|DIANA
Service Pack 2|135|WAJAHAT||wajahat.eastnets.com|2009-03-17T12:42:41.000000000|2009-03-20 08:50:20|2008-10-13T13:55:49.000000000|5.1 (2600)||Windows XP Professional|WAJAHAT
Service Pack 2|2|DANIELE||daniele.eastnets.com|2008-10-19T08:34:53.000000000|2008-10-19 08:18:34|2008-10-14T08:57:26.000000000|5.1 (2600)||Windows XP Professional|DANIELE
Service Pack 2|0|PORTAL||Portal.eastnets.com|2009-02-19T07:28:41.000000000|2009-02-19 07:28:42|2008-10-14T11:56:15.000000000|5.2 (3790)||Windows Server 2003|PORTAL
Service Pack 3|0|MAJD||Majd.eastnets.com|2008-12-16T10:12:29.000000000|2008-12-14 14:11:56|2008-10-15T06:52:28.000000000|5.1 (2600)||Windows XP Professional|MAJD
Service Pack 1||TIMETRACKERVM||TimeTrackerVM.eastnets.com|2008-10-25T07:07:51.000000000||2008-10-15T07:01:56.000000000|5.2 (3790)||Windows Server 2003|TIMETRACKERVM
Service Pack 2|47|ANN||ann.eastnets.com|2009-03-15T04:42:13.000000000|2009-03-15 13:10:30|2008-10-15T12:02:14.000000000|5.1 (2600)||Windows XP Professional|ANN
Service Pack 3|1|ENAMDEV017||enamdev017.eastnets.com|2010-02-23T09:15:19.000000000|2009-11-15 15:18:39|2008-10-16T09:12:59.000000000|5.1 (2600)||Windows XP Professional|ENAMDEV017
Service Pack 2|36|VANESSA||vanessa.eastnets.com|2009-02-10T10:50:42.000000000|2009-02-03 13:48:28|2008-10-16T12:00:22.000000000|5.1 (2600)||Windows XP Professional|VANESSA
Service Pack 2|25|ASUMREIN||asumrein.eastnets.com|2008-11-09T11:35:57.000000000|2008-11-05 13:09:37|2008-10-19T08:26:37.000000000|5.1 (2600)||Windows XP Professional|ASUMREIN
Service Pack 2|116|DKHOURY||dkhoury.eastnets.com|2009-10-15T05:15:30.000000000|2009-10-21 11:21:15|2008-10-19T08:40:23.000000000|5.1 (2600)||Windows XP Professional|DKHOURY
Service Pack 2|42|WMEHDI||wmehdi.eastnets.com|2009-03-29T07:52:25.000000000|2009-03-31 14:03:57|2008-10-19T09:10:50.000000000|5.1 (2600)||Windows XP Professional|WMEHDI
Service Pack 3|2|ENAMPRESALE002||ENAMpresale002.eastnets.com|2009-12-27T08:26:58.000000000|2009-11-12 14:07:21|2008-10-19T09:07:11.000000000|5.1 (2600)||Windows XP Professional|ENAMPRESALE002
Service Pack 2|170|BQAROUT||bqarout.eastnets.com|2009-10-06T05:44:27.000000000|2009-10-04 14:14:55|2008-10-26T07:21:08.000000000|5.1 (2600)||Windows XP Professional|BQAROUT
