"","*** Alcohol Soft/DAEMON Tools ***"
"cnprov","Baidu Toolbar (Adware)"
"CnsMinKP","Yahoo! Assistant Browser Helper Object"
"CnxTrLan","Conexant USBNET Modem Network Driver"
"CnxTrUsb","Conexant USBNET Modem USB Controller Driver"
"CO_Mon","!!! PSP: Symantec Norton 360 !!!"
"COH_Mon","!!! PSP: Symantec EndPoint Protection !!!"
"comctl32","Microsoft Common Controls Library"
"comdlg32","Microsoft Common Dialogs DLL"
"COMFiltr","!!! PSP: Panda Security !!!"
"COMMONFX","Creative Common FX Plug-in"
"CommSBEP","Motorola SBEP Virtual Protocol Driver"
"Compbatt","Microsoft Composite Battery Driver"
"CompositeBus","Microsoft Composite Bus Enumerator Driver"
"compression","*** DANGEROUS MALWARE - SEEK HELP ASAP ***"
"ComproHID","Compro Tech HID Device Driver"
"COMPT","COM Port Toolkit Driver"
"ComputerZ","LuDaShi Master Lu System Optimization Driver"
"connctfy","Connectify 2010 NDIS Helper Driver"
"Consult","ConsultantPlus Device Driver"
"cont3flt","InformZaschita CPS Continent-AP Crypto Driver"
"cont3ppp","InformZaschita CPS Continent-AP Crypto Driver"
"CONTENT","Microsoft Folder Contents Submenu Shell Extension"
"control","*** DANGEROUS MALWARE - SEEK HELP ASAP ***"
"countryfix","*** SIG25 - FOLLOW GUIDANCE ***"
"covpndrv","Cisco VPN Client IPSEC Driver"
"cp_aes","!!! CryptoPro CSP VPN Gate Client !!!"
"cp_cpro","!!! CryptoPro CSP !!!"
"cp_plg1","!!! CryptoPro CSP VPN Gate Client !!!"
"cpdrvlib","!!!CryptoPro CSP 3 Data Protection !!!"
"cpksp","!!! CryptoPro CSP !!!"
"cpq32fs2","Compaq 32-bit SCSI driver"
"cpqarray","Compaq Smart Array (SCSI Raid Controller)"
"cpqarry2","Compaq Smart Array Controllers SCSI Miniport Driver"
"cpqasm","HP ProLiant Advanced System Mgmt Controller Driver"
"cpqasm2","HP ProLiant Advanced System Mgmt Controller Driver"
"cpqbttn","HP Tablet PC Key Button HID Driver"
"CpqCiDrv","iLO Management Channel Interface Driver"
"CPQCISSE","HP Smart Array Notification Driver"
"cpqcissm","Compaq Smart Array Controllers SCSI Miniport Driver"
"CPQDAEN","HP ProLiant Drive Array Notification Driver"
"cpqdfw","Compaq Diagnostics Driver"
"CPQFCAC","HP ProLiant Fibre Channel Storage Event Driver"
"cpqfcalm","Compaq StorageWorks Fibre Channel HBA SCSI Miniport"
"cpqfcftr","HP Fibre Channel Filter Driver"
"cpqfws2e","Compaq Fast-Wide SCSI Miniport Driver"
"CPQKGPSA","HP SCSI Miniport Driver"
"cpqmhp","HP ProLiant Hot Plug Memory Driver"
"CPQPHP","Compaq PCI hot plug controller"
"cpqrib","Compaq Remote Insight Lights-Out Driver"
"CpqRib","Compaq Remote Insight Lights-Out Driver"
"cpqrib2","Compaq Remote Insight Lights-Out II Driver"
"CpqRib2","Compaq Remote Insight Lights-Out II Driver"
"CPQRIB2","HP Remote Insight Lights-Out II Board Driver"
"cpqsmgrk","Compaq Service Manager Driver"
"cpqteam","HP Network Configuration Driver"
"CProCtrl","!!!CryptoPro CSP 3 Data Protection !!!"
"CProDspr","!!!CryptoPro CSP 3 Data Protection !!!"
"CpsFsJnl","Symantec Backup Exec Continuous Protection Server"
"cpthook","!!! Compuware/Numega SoftICE Debugger !!!"
"cpudrv","Husdawg System Requirements Lab Driver"
"cpuz132_x32","Windows CPUID Driver"
"cpuz133_x32","CPUID CPU-Z Diagnostic Software Driver"
"cpuz134_x32","CPUID CPU-Z Hardware Mgmt Driver"
"cpuz135_x32","CPUID CPU-Z Hardware Mgmt Driver"
"cq_mem","Compaq Diagnostics Memory Driver"
"cqcpu","Compaq Diagnostics CPU Driver"
"crashdmp","Windows Crash Dump Driver"
"crcdisk","CRC Disk Filter Driver"
"crd","NetSys Enterprise Security (Encryption)"
"crlscsi","Corel TWAIN NT Kernel Driver"
"crtaud","Conexant Audio Driver"
"crypt32","Windows Crypto API"
"crypto","SafeNet Crypto Driver"
"CRYPTOPM","!!! CryptoPro CSP !!!"
"csc","Windows Client Side Caching Driver"
"CSCrySec","InfoWatch CryptoStorage Encrypt Sector Library Driver"
"csctl50","*** UNKNOWN - PLEASE PULL BACK ***"
"CSDfeb731f","*** UNKNOWN - PLEASE PULL BACK ***"
"CSFileHookDrv","!!! PSP: Rising Network Administration Kit !!!"
"CSHideDrv","!!! PSP: Rising Network Administration Kit !!!"
"csiidecoder_kern_i386","SRS Audio Sandbox (WDM)"
"CSN5PDTS82","!!! PSP: Colasoft Capsa Network Analyzer !!!"
"CSNetDrv","!!! PSP: Rising Network Administration Kit !!!"
"CSNPD51","!!! PSP: Colasoft Capsa Network Analyzer !!!"
"CSNpfDrv","!!! PSP: Rising Network Administration Kit !!!"
"CSProcDrv","!!! PSP: Rising Network Administration Kit !!!"
"CSProcessHideDrv","*** UNKNOWN - PLEASE PULL BACK ***"
"css_drv","Cisco Secure Services Driver"
"css-dvp","!!! PSP: Authentium/Command Antivirus !!!"
"CSVirtualDiskDrv","InfoWatch CryptoStorage Virtual Disk Driver"
"CT_ZTEMT_U_USBSER","ZTEMT USB Modem/Serial Device Driver"
"CT200xN51","3Com 3C2000 Ethernet Controller Driver"
"ctac16K","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"ctac32k","Creative PCI/ISA SoundCard Driver"
"ctaud2k","Creative WDM Audio Device Driver"
"CTAUDFX","Creative SB FX Plug-in"
"CtClsFlt","Creative Video Class Upper Filter Driver"
"ctlfacem","Creative SB Live! Interface Driver"
"ctljystk","Creative Joyport Enabler Driver"
"ctlsb16","Sound Blaster 16 Adapter Driver"
"ctoss2k","Creative OS Services Driver (WDM)"
"ctprxy2k","Creative Proxy Device Driver (WDM)"
"CTSBLFX","Creative SB FX Plug-in"
"ctsfm2k","Creative SoundFont Management Device Driver"
"ctusfsyn","Creative SoundFont Synthesizer Driver"
"CtxAltStr","Citrix SFO Alternate Stream Driver"
"ctxpidmn","Citrix Process Notification Driver"
"ctxrmpn","Citrix RM Process Notification Driver"
"CtxSbx","Citrix Application Isolation Environment Driver"
"ctxsmcdrv","Citrix SMC Support Driver"
"ctxusbm","Citrix USB Monitor Driver"
"cv2k1","!!! PSP: Common View Remote Agent - Traffic Monitor !!!"
"cvhdbus","Citrix XenConvert Virtual Hard Disk Enumerator"
"cvintdrv","LabWindows/CVI RTE 7.0 Driver"
"CVirtA","Cisco Systems VPN Adapter"
"CVPNDRVA","Cisco Systems VPN Client IPSec Driver"
"cvpopflt","Logitech QuickCam Cisco AudioProcessing Filter Driver"
"cvusbdrv","Broadcom Credential Vault USB Driver"
"cvuvc","Logitech QuickCam Cisco USB Video Class Driver"
"cvuvcflt","Logitech QuickCam Cisco USB Video Class Filter Driver"
"cwawdm","Cirrus Logic Crystal AC9x WDM Driver"
"cwbmidi","Crystal WDM MIDI Driver"
"cwcos","Crystal SoundFusion WDM Driver"
"cwcspud","Crystal SoundFusion WDM Driver"
"cwcspud3","Crystal PCI WDM Ring 3 Interface Driver"
"cwcwdm","Crystal SoundFusion WDM Driver"
"cwid","*** UNKNOWN - PLEASE PULL BACK ***"
"cwrwdm","Crystal PCI WDM Audio Driver"
"cx88vid","Leadtek CX2388x Video Capture Driver"
"cxbnzbzc","*** UNKNOWN - PLEASE PULL BACK ***"
"cxbu0wdm","OMNIKEY PC/SC IFD Handler for CCID Compliant CardMan"
"CyUsb","Cypress Generic USB Device Driver"
"d343bus","Plug and Play BIOS Extension"
"d343port","SCSI Miniport Driver"
"d344bus","Plug and Play BIOS Extension"
"d344prt","SCSI Miniport Driver"
"d346bus","Plug and Play BIOS Extension"
"d346prt","SCSI Miniport Driver"
"d347bus","Plug and Play BIOS Extension"
"d347prt","SCSI Miniport Driver"
"dac2nt4","Mylex Hard Disk Controller Driver"
"dac2w2k","Mylex Disk Array Controller Driver"
"dac960nt","Mylex Disk Array Controller Driver"
"daemon","*** Alcohol Soft/DAEMON Tools *** Disk Emulator"
"Dallas","!!!CryptoPro CSP 3 Data Protection !!!"
"DAMDrv","HP Device Access Manager for ProtectTools"
"DamewareDisp","Dameware Development Mirror Display Driver"
"DamewareMini","DameWare Development Mirror Miniport Driver"
"Darpan","Novell ZENworks Remote Management Driver"
"dasmkit","*** KILLSUIT LAUNCHER DRIVER - REMOVE ME ***"
"datascrn","Microsoft Data Screen File System Filter Driver"
"davinci2","!!! PSP: 360Safe Security Center !!!"
"dbdebug","*** SIG25 - FOLLOW GUIDANCE ***"
"DbgMsg","!!! Compuware/Numega SoftICE Debugger !!!"
"dc_fsf","DiskCryptor Software Driver"
"dc21x4","Intel NDIS 5.0 DC21X4 Miniport Driver"
"dc21x4vm","DC21x4 Based Network Adapter Driver For Virtualization"
"dcdbas32","Dell BASE Device Driver"
"dcdipm32","Dell IPMI Device Driver"
"dcesm","Dell Embedded Server Management Driver"
"dcesmwdm","Dell OpenManage Server Agent Driver"
"DCO9000","PenMount 9000 Serial Driver"
"dcrypt","DiskCryptor Software Driver"
"ddm","Microsoft SMS Server Discovery Data Manager"
"de8296f","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"dedtasvr","*** UNKNOWN - PLEASE PULL BACK ***"
"DeepFrz","!!! Faronics Deep Freeze !!!"
"defpapi","DigitalPersona Pro for Active Directory"
"Defrag32","Raxco PerfectDisk Defragmentation Support Driver"
"Defrag32b","Raxco PerfectDisk Defragmentation Support Driver"
"DefragFS","Raxco PerfectDisk Deframentation Support Driver"
"dehihdp","*** KILLSUIT LAUNCHER DRIVER - REMOVE ME ***"
"dellcerc","LSI MegaRAID RAID Controller Driver"
"demeapi","*** UNKNOWN - PLEASE PULL BACK ***"
"DeNoise","Sonix USB Video Device Driver"
"DepFrzHi","!!! Faronics Deep Freeze !!!"
"DepFrzLo","!!! Faronics Deep Freeze !!!"
"dermflt","*** UNKNOWN - PLEASE PULL BACK ***"
"DeviceLockDriver0","SmartLine DeviceLock Driver"
"DeviceLockDriverHlp","SmartLine DeviceLock Driver"
"DeviceLockDriverHlpExt","SmartLine DeviceLock Driver"
"DeviceLockDriverHlpExtG4","SmartLine DeviceLock Driver"
"devmgr","Windows Device Manager"
"devmgr32","*** SENTRYTRIBE MENTAL ***"
"devobj","Microsoft Device Information Set"
"devpnp","*** DANGEROUS MALWARE - SEEK HELP ASAP ***"
"devtdi","*** DANGEROUS MALWARE - SEEK HELP ASAP ***"
"df","T-Online Dialer Protection Software"
"dfmirage","DemoForge Mirage Display Driver"
"Dfs","Distributed File System Filter Driver"
"dfsc","*** DS MENTAL *** -OR- Microsoft DFS Namespace Client File"
"DfsDriver","Microsoft DFS Reparse Point Handler"
"dfsrro","Microsoft DFS Replication-Related Filter Driver"
"dfx22","*** UNKNOWN - PLEASE PULL BACK ***"
"dgcfltr","Conexant Soft56 Modem Driver"
"DgiVecp","Samsung IEEE-1284 Parallel Class Driver"
"DgivEcp","Samsung Printer Driver"
"dhtmled","*** SIG18 - FOLLOW GUIDANCE ***"
"Diag69xp","Realtek RTL8169 Hardware Diagnostics Driver"
"difxapi","Windows Driver Install Frameworks API"
"DigiAsyn","Digi Dxb Serial Interface Driver"
"DigiAsyn","Digi International Adapter Driver"
"DIGIDXB","Digi Dxb Adapter Driver"
"DIGIDXB","Digi International Adapter Driver"
"DigiFilt","Avid Digidesign Pro Tools Ethernet Packet Driver"
"diginet","Avid Digidesign Pro Tools Ethernet Packet Driver"
"digirlpt","Digi RealPort Driver"
"DiNs56K","*** UNKNOWN - PLEASE PULL BACK ***"
"discache","*** ST MENTAL *** -OR- Microsoft System Attribute Cache"
"Disk","Microsoft PnP Disk Driver"
"Diskperf","Windows Disk Performance Utility"
"DisplayLinkGAport","DisplayLink Graphics Adapter Miniport"
"DisplayLinkmirrordisp","DisplayLink USB Graphics Adapter"
"DisplayLinkmirrorport","DisplayLink Mirror Miniport Driver"
"DisplayLinkUsbPort","DisplayLink USB Kernel Driver"
"DivXfix","*** SIG25 - FOLLOW GUIDANCE ***"
"dk2drv","Data Encryption Systems DK2 DESkey Driver"
"DKbFltr","Dritek PS2 Keyboard Filter Driver"
"dl2xd50","D-Link DL2X Gigabit Ethernet Driver"
"DLABMFSM","Roxio Drive Letter Access Component"
"DLABOIOM","Roxio Drive Letter Access Component"
"DLACDBHM","Roxio Drive Letter Access Component"
"DLADResM","Roxio Drive Letter Access Component"
"DLADResN","Roxio Drive Letter Access Component"
"DLAIFS_M","Roxio Drive Letter Access Component"
"DLAOPIOM","Roxio Drive Letter Access Component"
"dlapaw","*** KILLSUIT LAUNCHER DRIVER - REMOVE ME ***"
"DLAPoolM","Roxio Drive Letter Access Component"
"DLARTL_M","Roxio Drive Letter Access Component"
"DLARTL_N","Roxio Drive Letter Access Component"
"DLAUDF_M","Roxio Drive Letter Access Component"
"DLAUDFAM","Roxio Drive Letter Access Component"
"dlc","NT DLC Protocol Driver"
"dlcndi","*** DOORWAYNAPKIN/STOWAGEWINK ***"
"dlcrypt","CenterTools DriveLock Encryption Driver"
"DLDriverKbd0","SmartLine DeviceLock Driver"
"DLGCCORE","Intel Dialogic Core Driver"
"dlgcmcd","Dialogic HMP DM3 Class Driver"
"dlgcmpd","Dialogic HMP DM3 Protocol Driver"
"DlgcSram","Intel Dialogic SRAM Driver"
"dlh5x","D-Link DL 10050-based FAST Ethernet Adapter Driver"
"DLH5XND5","D-Link DL10050-based FAST Ethernet Adapter Driver"
"DLKFET","D-Link PCI Fast Ethernet Adapter Miniport"
"dlkfet5b","D-Link NDIS 5.0 Miniport Driver"
"DLKRTGB","D-Link DGE-528T Gigabit Ethernet Adapter Driver"
"DLKRTS","D-Link CardBus Fast Ethernet Driver"
"DLKRTXP","D-Link DGE-528T Gigabit Ethernet Adapter"
"DLPORTIO","Driver LINX Port I/O Driver"
"dlttape","Microsoft SCSI Tape Drive"
"dm3nk","Dialogic Host Media Processing Driver"
"DM9PCI5","DAVICOM PCI Fast Ethernet NT Driver"
"dmboot","Symantec VERITAS NT Disk Manager Startup Driver"
"dmd","*** UNKNOWN - PLEASE PULL BACK ***"
"DMIBIOS","Intel LANdesk Client Manager"
"DMICall","Sony DMI Call Service Driver"
"dmio","Logical Disk Manager Driver"
"dmload","NT Disk Manager Startup Driver"
"dmrcmrpd","Hitachi Remote Control Display Miniport Driver"
"dmsmbios","Intel Active Monitor iSMBios Driver"
"DMusic","Microsoft Kernel DLS Syntheiszer"
"DMX3191","DMX 3191 PCI SCSI Controller Driver"
"DMX328X","DTC 3X80 SCSI Controller Driver"
"dne2000","Cisco VPN Deterministic Network Enhancer"
"DNSCACHE","!!! PSP: Agnitum Outpost Firewall !!!"
"DNSFILT","!!! PSP: Norton Internet Security !!!"
"doccfg","*** KILLSUIT LAUNCHER DRIVER - REMOVE ME ***"
"dofelsrv","*** UNKNOWN - PLEASE PULL BACK ***"
"dokan","Dokan User Mode File System Driver"
"DontGo","Promise Removable Disk Control Driver"
"dopedt","*** UNKNOWN - PLEASE PULL BACK ***"
"Dot4","Microsoft One Cool Transport"
"Dot4Prt","Microsoft Dot4 Printer Driver"
"Dot4Scan","Microsoft One Cool Transport"
"dot4usb","Microsoft Dot4usb Filter Driver"
"dotrres","*** UNKNOWN - PLEASE PULL BACK ***"
"DozeHDD","Lenovo Doze Mode Kernel Driver for HDD Control"
"dpinject","Compuware DevPartner Common Injector Driver"
"dpK00701","DigitalPersona USB Fingerprint Scanner Driver"
"DpmFilter","Microsoft Data Protection Manager Driver"
"dpmfltr","Microsoft Data Protection Manager"
"dpmtrcdd","SIEMENS SIMATIC NET DPM Trace Driver"
"DPortIO","Dritek General Port I/O Driver"
"dpti2o","Adaptec I20 Raid Adapter Miniport Driver"
"dpti30","*** DARKSKYLINE MENTAL ***"
"drishti","Novell ZENworks for Desktops Driver"
"driverx","Tetradyne DriverX 4 NT Driver"
"drmk","Windows Kernel DRM Descambler Filter"
"drmkaud","Microsoft Kernel DRM Audio Descrambler"
"drpkiont","Texas Instruments XDS560 Device Driver"
"drvbufsys","*** UNKNOWN - PLEASE PULL BACK ***"
"DRVMCDB","Roxio Drive Letter Access Component"
"drvmcdb","Sonic Solutions Device Driver"
"DRVNDDM","Roxio DLA Device Driver Manager"
"drvnddm","Roxio Sonic DLA Device Driver Manager"
"DrvSnSht","R-TT Disk Backup System Driver"
"drwebnet","!!! PSP: Dr. Web Anti-Virus !!!"
"DS1410D","Dallas Semiconductor 1-Wire Driver"
"ds1wdm","Yamaha PCI(x) Audio System Driver"
"ds325gts","*** SALVAGERABBIT/OLYMPUS ***"
"ds4dsm","IBM DSM Disk Driver"
"ds4utm","IBM UTM Disk Driver"
"DSAFLT","!!! PSP: Panda Security !!!"
"dsfd","FalconStor DiskSafe Application Driver"
"dsgrab_01c9928f9cd4c25c","Oracle Desktop Sharing Grabber Driver"
"dsksafe","FalconStor DiskSafe Application Driver"
"dsload","Desktop Sharing Grabber Loader"
"dsNcAdpt","Juniper Network Connect Driver"
"dsnpfd","!!! PSP: DeskSoft BWMeter !!!"
"dsound4d","*** SIG25 - FOLLOW GUIDANCE ***"
"dsound4d","*** SIG25 - FOLLOW GUIDANCE ***"
"DSproct","Gtek Process Trigger Driver"
"DSSUSBF","Olympus Optical DSSUSBF Driver"
"dsunidrv","Gteko Diagnostics GUniDriver Driver"
"dtapeW2k","Dell PowerVault 110T LTO Tape Driver"
"dtapeW32","Dell PowerVault Tape Driver"
"DTFltDrvXP","SaferZone Defcon Secure USB Driver"
"DTL132_x32","Dritek Keyboard Filter Driver"
"dtscsi","*** Alcohol Soft/DAEMON Tools *** SCSI Miniport Driver"
"dtsoftbus01","DAEMON Tools Virtual Bus Driver"
"DUM_XP32","!!! PSP: DU Meter Traffic Monitor !!!"
"dumant","NVIDIA DumaNT Auxiliary Driver for Stereo"
"dump_a320raid","Mem Dump for Adaptec HostRAID for Ultra 320 SCSI"
"dump_aac","Mem Dump for Adaptec RAID Miniport Driver"
"dump_aacsas","Mem Dump for Adaptec SAS RAID Miniport Driver"
"dump_aar1210","Mem Dump for Adaptec HostRAID for Serial ATA Driver"
"dump_aar81xx","Mem Dump for Adaptec Windows SATA Driver"
"dump_aarahci","Mem Dump for Adaptec Embedded SATA Family Driver"
"dump_aarich","Memory Dump for Adaptec HostRAID for Serial ATA"
"dump_adp94xx","Mem Dump for Adaptec SAS/SATA Storport System"
"dump_adpahci","Mem Dump for Adaptec Windows SATA Storport Driver"
"dump_adpu160m","Mem Dump for Adaptec Ultra160 SCSI Miniport"
"dump_adpu320","Mem Dump for Adaptec Ultra320 SCSI HBA driver"
"dump_ahci8086","Mem Dump for AMD AHCI Compatible Controller Driver"
"dump_ahcix86","Mem Dump for ATI AHCI Compatible Controller Driver"
"dump_aic78u2","Mem Dump for Adaptec 32 Windows SCSI Driver"
"dump_aic78xx","Mem Dump for Adaptec 32 Windows SCSI Driver"
"dump_AMDEIDE","Mem Dump for AMD IDE Driver"
"dump_arc","Mem Dump for SCSI Port Driver"
"dump_arcsas","Mem Dump for Adaptec SAS RAID System Driver"
"dump_atapi","Mem Dump for IDE port driver"
"dump_BNSM","Mem Dump for VenturCom BXP SCSI Miniport Driver"
"dump_cercsr6","Mem Dump for Dell CERC SATA Miniport Driver"
"dump_CLASSPNP","Mem Dump for SCSI Class System Driver"
"dump_Cpq32fs2","Mem Dump for HP 32-bit SCSI-2 Controllers Driver"
"dump_Cpqarray","Mem Dump for Compaq Drive Array Controller"
"dump_cpqarry2","Mem Dump for Compaq Smart Array Controller"
"dump_cpqcissm","Mem Dump for Compaq SCSI Array Driver"
"dump_dac2nt4","Mem Dump for Mylex Hard Disk Controller Driver"
"dump_dac960nt","Mem Dump for Mylex Disk Array Controller Driver"
"dump_diskdump","Mem Dump for Disk Crash"
"dump_dpti2o","Mem Dump for DPT SmartRAID Miniport"
"dump_dumpata","Mem Dump for ATAPI Dump Driver"
"dump_dumpfve","Mem Dump for Full Volume Encryption Crashdump"
"dump_fasttrak","Mem Dump for Promise FastTrak Series Driver"
"dump_Fasttrak","Mem Dump for Promise FastTrak Series Driver"
"dump_fasttx2k","Mem Dump for Promise FastTrak Series Driver"
"dump_ft8300","Mem Dump for Promise FastTRAK SX4300/8300 Driver"
"dump_ftsata2","Mem Dump for Promise FastTrak Series Driver"
"dump_fttxr5_O","Mem Dump for Promise FastTRAK TX4200/TX4300 Driver"
"dump_HpAHCIsr","Mem Dump for HP SmartArray SATA RAID Driver"
"dump_HpCISSm2","Mem Dump for HP SmartArray Miniport Driver"
"dump_hpcisss","Mem Dump for HP SmartArray Storport Driver"
"dump_HpCISSs2","Mem Dump for HP SmartArray Storport Driver"
"dump_hpcisss2","Mem Dump for HP SmartArray Storport Driver"
"dump_hpn","Mem Dump for NetRAID-4M Miniport Driver"
"dump_hpt374","Mem Dump for HighPoint RAID Controller Driver"
"dump_hpt3xx","Mem Dump for HPT3xx Miniport Driver"
"dump_iastor","Mem Dump for Intel Application Accelerator Driver"
"dump_iaStor","Mem Dump for Intel Matrix Storage Manager Driver"
"dump_IdeChnDr","Memory Dump for Intel Ultra ATA Controller Driver"
"dump_iirsp","Mem Dump for Intel RAID StorPort Driver"
"dump_ipsraidn","Mem Dump for IBM ServeRAID Controller Driver"
"dump_iteraid","Mem Dump for ITE Raid Driver"
"dump_jraid","Mem Dump for JMicron JR36X RAID Driver"
"dump_KR10N","Mem Dump for TOSHIBA RAID"
"dump_lsi_sas","Mem Dump for LSI SCSI Driver"
"dump_lsi_scsi","Mem Dump for LSI Logic Fusion-MPT SCSI Driver"
"dump_m5288","Mem Dump for ULi SATA Controller Driver"
"dump_MegaIDE","Mem Dump for LSI MegaRAID IDE Driver"
"dump_megasas","Mem Dump for LSI MEGASAS RAID Controller Driver"
"dump_MegaSR","Mem Dump for LSI MegaRAID Software Driver"
"dump_MegaSR1","Mem Dump for LSI Embedded MegaRAID"
"dump_mraid2k","Mem Dump for Dell PERC 3/QC RAID Driver"
"dump_mraid35x","Mem Dump for MegaRaid RAID Controller Driver"
"dump_msahci","*** MEM DUMP FOR DARKSKYLINE MENTAL ***"
"dump_msas2k3","Mem Dump for LSI MEGASAS RAID Controller Driver"
"dump_mv61xx","Mem Dump for Marvell Thor Windows Driver"
"dump_nfrd960","Mem Dump for IBM ServeRAID Controller Driver"
"dump_nvata","Mem Dump for NVIDIA nForce ATA System Driver"
"dump_nvatabus","Memory Dump for NVIDIA nForce IDE Performance Driver"
"dump_nvgts","Mem Dump for NVIDIA SATA Performance Driver"
"dump_nvraid","Mem Dump for NVIDIA nForce RAID Driver"
"dump_nvrd32","Mem Dump for NVIDIA nForce RAID Driver"
"dump_nvstor","Mem Dump for NVIDIA Storage System Driver"
"dump_nvstor32","Mem Dump for NVIDIA nForce SATA Driver"
"dump_perc2","Mem Dump for Microsoft PERC2 Miniport Driver"
"dump_percsas","Mem Dump for MEGASAS Raid Controller Driver"
"dump_raidsrc","Mem Dump for Intel Minidump Driver"
"dump_s110","Mem Dump for Legend S110 IDE RAID Driver"
"dump_si3112","Mem Dump for Silicon Image SATALink Driver"
"dump_si3112r","Mem Dump for SI Medley ATA RAID Miniport Driver"
"dump_SI3112r","Mem Dump for SI Medley ATA RAID Miniport Driver"
"dump_Si3124r5","Mem Dump for Silicon SATA SoftRAID 5 Miniport Driver"
"dump_SISRAID","Memory Dump SiS RAID Miniport Driver"
"dump_SMARAID","Mem Dump for Promise SMARAID Driver"
"dump_sym_hi","Mem Dump for Symbios SCSI Miniport Driver"
"dump_sym_u3","Mem Dump for Symbios Ultra3 SCSI Miniport Driver"
"dump_symc8xx","Mem Dump for Symbios 8XX SCSI Miniport Driver"
"dump_symmpi","Mem Dump for LSI Logic Fusion-MPT Miniport Driver"
"dump_SYMMPI","Memory Dump for LSI Logic Fusion-MPT MiniPort Driver"
"dump_UlSata","Mem Dump for Promise Ultra/Sata Series Driver"
"dump_ultra","Mem Dump for Promise Ultra Series Driver"
"dump_viamraid","Mem Dump for VIA RAID Driver"
"dump_vmscsi","Mem Dump for VMware SCSI Driver"
"dump_wmilib","Mem Dump for WMI driver"
"dump_wmimmc","Mem Dump for nProtect GameGuard Driver"
"dump_XENUTIL","Mem Dump for Citrix XenTools Util Driver"
"dump_xenvbd","Mem Dump for Citrix XenServer PV Block Device Driver"
"dump_xevtchn","Mem Dump for Citrix XenCenter Device Driver"
"dvb7700all","DiBcom MOD7700 AVSTREAM/BDA Driver"
"dvd_2K","Roxio DVD-RAM Add-On Driver"
"DVDVRRdr","Roxio DVDVR Filesystem Reader Driver"
"DVDVRRdr_xp","Roxio DVDVR Filesystem Reader Driver"
"dwlkbf","Kassel dWinlock Keyboard Filter Driver"
"dwprot","!!! PSP: Dr. Web Anti-Virus !!!"
"dwshd","!!! PSP: Dr. Web Shield !!!"
"dwvkbd","DameWare Virtual Keyboard Driver"
"dwvkbd64","DameWare Virtual Keyboard Driver"
"dwvscd","Danware NetOp Virtual Smart Card Reader Driver"
"Dxapi","DirectX API Driver"
"dxec01","Knowles Acoustics DXEC.01 Speech Enhancement"
"dxec02","Knowles Acoustics DXEC.02 Speech Enhancement Driver"
"dxg","DirectX API Driver"
"dxg32","*** SENTRYTRIBE MENTAL ***"
"dxghlp16","*** SENTRYTRIBE MENTAL ***"
"DXGHLP16","*** SENTRYTRIBE MENTAL ***"
"DXGHLP32","*** SENTRYTRIBE MENTAL ***"
"dxgkrnl","Microsoft LDDM Graphics Subsystem"
"dxgmms1","Microsoft LDDM Graphics Subsystem"
"dxgthk","DirectX Graphics Driver"
"DxSpyRec","StorageTek DiskXtender Data Manager Service"
"dyepatbb","*** UNKNOWN - PLEASE PULL BACK ***"
"e1000325","Intel PRO/1000 Adapter Driver"
"e1000nt5","Intel PRO/1000 Adapter Driver"
"e100b325","Intel PRO/100 Adapter Driver"
"E100BNT","Intel PRO/100 Adapter Driver"
"e100bnt5","Intel PRO/100 Adapter Driver"
"e100ent","Intel 82551ER Fast Ethernet Driver"
"E166032E","Intel Pro/1000 Adapter NDIS6 De-serialized Driver"
"e1e5032","Intel PRO/1000 Adapter Driver"
"e1e5132","Intel PRO/1000 Adapter Driver"
"e1e6032","Intel PRO/1000 Adapter Driver"
"e1e6032e","Intel PRO/1000 Adapter Driver"
"e1G5132e","Intel 1000 BASE (PCI) Network Adapter Driver"
"E1G60I32","Intel PRO/1000 Adapter Driver"
"e1k5032","Intel PRO/1000 Gigabit Adapter Driver"
"e1k5132","Intel PRO/1000 Gigabit Adapter Driver"
"e1k6032","Intel Gigabit Adapter Driver"
"e1q5132","Intel PRO/1000 Gigabit Adapter Driver"
"e1y5132","Intel Gigabit Network Connection Driver"
"e1y6232","Intel Gigabit Network Connection Driver"
"EABFiltr","HP QLB PS/2 Keyboard Filter Driver"
"eacfilt","Nortel Filter Driver for CVC"
"eamon","!!! PSP: ESET Nod32 Anti-Virus !!!"
"eamonm","!!! PSP: ESET Nod32 Anti-Virus !!!"
"EAPPkt","Windows Sample NDIS 5.0 Protocol Driver"
"eaps2kbd","Compaq Easy Access PS/2 Keyboard Filter Driver"
"easdrv","!!! PSP: ESET Nod32 !!!"
"EasyKey","BTC Korea NFREN Multimedia EasyKey Driver"
"EAWDMFD","Compaq Easy Access WDM Filter Driver"
"ecache","Microsoft Special Memory Device Cache"
"ECCDetect","*** UNKNOWN - PLEASE PULL BACK ***"
"edgeser","EdgePort USB Driver"
"EdpEDisk","*** UNKNOWN - PLEASE PULL BACK ***"
"eeCtrl","!!! PSP: Norton Internet Security !!!"
"eeCtrl64","!!! PSP: Symantec AntiVirus !!!"
"efe5b32e","Intel PRO/100 Adapter Network Driver"
"Efimon","!!! PSP: 360Safe Security Center !!!"
"efpescpt","*** UNKNOWN - PLEASE PULL BACK ***"
